word,frequency
velocity,1.0
parameter,0.5793103448275863
different,0.5333333333333333
training,0.5298850574712644
wavefield,0.5057471264367817
wave equation,0.5022988505747127
deep learning,0.45977011494252873
input,0.4540229885057471
neural,0.45057471264367815
seismic,0.40804597701149425
case,0.38850574712643676
prediction,0.3873563218390805
layer,0.364367816091954
value,0.3620689655172414
problem,0.35977011494252875
time,0.3528735632183908
waveform inversion,0.3367816091954023
output,0.332183908045977
simulation,0.3275862068965517
function,0.3195402298850575
accuracy,0.3045977011494253
seismic wave,0.3
inversion,0.29770114942528736
algorithm,0.29540229885057473
dataset,0.28735632183908044
example,0.2747126436781609
full waveform,0.2655172413793103
sample,0.26436781609195403
pinn,0.2620689655172414
solution,0.25517241379310346
equation,0.24942528735632183
wave propagation,0.24942528735632183
ground truth,0.2471264367816092
image,0.2425287356321839
work,0.23793103448275862
point,0.2367816091954023
neural operator,0.23448275862068965
comparison,0.22873563218390805
number,0.22758620689655173
source,0.22528735632183908
application,0.2206896551724138
geophysical journal,0.21724137931034482
journal international,0.2160919540229885
structure,0.21149425287356322
loss function,0.21149425287356322
gradient,0.2103448275862069
process,0.20804597701149424
elastic wave,0.20804597701149424
doi org,0.20804597701149424
architecture,0.20344827586206896
performance,0.19770114942528735
size,0.19770114942528735
geophysics,0.19655172413793104
fwi,0.19540229885057472
seismogram,0.19310344827586207
accurate,0.19080459770114944
automatic differentiation,0.19080459770114944
domain,0.1896551724137931
initial,0.18735632183908046
table,0.18620689655172415
acoustic wave,0.1850574712643678
field,0.1839080459770115
due,0.18275862068965518
analysis,0.18275862068965518
first,0.18275862068965518
section,0.17701149425287357
finite difference,0.17701149425287357
test,0.17586206896551723
low frequency,0.1735632183908046
error,0.1724137931034483
synthetic,0.1724137931034483
corresponding,0.17126436781609194
new,0.17126436781609194
seismic inversion,0.17011494252873563
information,0.16896551724137931
receiver,0.167816091954023
fno,0.16551724137931034
complex,0.16436781609195403
set,0.1632183908045977
similar,0.15977011494252874
estimation,0.15747126436781608
distribution,0.15632183908045977
small,0.15632183908045977
source location,0.15402298850574714
difference,0.15172413793103448
machine,0.15057471264367817
seismic velocity,0.14942528735632185
machine learning,0.1482758620689655
large,0.1471264367816092
forward,0.14482758620689656
propagation,0.14367816091954022
order,0.14367816091954022
amplitude,0.1425287356321839
region,0.1413793103448276
original,0.1413793103448276
velocity inversion,0.1413793103448276
paper,0.14022988505747128
location,0.13908045977011493
dnn,0.13908045977011493
rnn,0.13908045977011493
differential equation,0.135632183908046
many,0.13448275862068965
reference,0.13448275862068965
part,0.13333333333333333
doi,0.13333333333333333
inverse problem,0.13218390804597702
subsurface,0.1310344827586207
experiment,0.1310344827586207
addition,0.1310344827586207
technique,0.12988505747126436
system,0.12988505747126436
surface,0.12988505747126436
dimension,0.12988505747126436
range,0.12988505747126436
single,0.12528735632183907
effect,0.12528735632183907
time step,0.12528735632183907
spatial,0.12298850574712644
component,0.12298850574712644
loss,0.12183908045977011
time domain,0.12183908045977011
regression,0.1206896551724138
surrogate,0.11954022988505747
numerical,0.11839080459770115
geological,0.11839080459770115
real,0.11839080459770115
calculation,0.11839080459770115
signal,0.11724137931034483
framework,0.11724137931034483
step,0.11609195402298851
various,0.11609195402298851
high frequency,0.11609195402298851
earth,0.11494252873563218
deep neural,0.11379310344827587
frequency,0.11264367816091954
convolutional neural,0.11264367816091954
adjoint state,0.11149425287356322
condition,0.1103448275862069
variable,0.1103448275862069
multiple,0.10919540229885058
best,0.10919540229885058
cnn,0.10919540229885058
depth,0.10804597701149425
feature,0.10804597701149425
able,0.10804597701149425
wave velocity,0.10804597701149425
universidad eafit,0.10804597701149425
matrix,0.10689655172413794
high,0.10344827586206896
higher,0.10344827586206896
seismic waveform,0.10344827586206896
possible,0.10229885057471265
noise,0.10229885057471265
event location,0.10229885057471265
area,0.10114942528735632
available,0.10114942528735632
direction,0.10114942528735632
wang,0.10114942528735632
optimization,0.1
physical,0.1
boundary condition,0.1
grid,0.09885057471264368
good,0.09885057471264368
lower,0.09885057471264368
use,0.09770114942528736
marmousi,0.09770114942528736
leakage,0.09770114942528736
activation function,0.09770114942528736
physic,0.09655172413793103
weight,0.09655172413793103
microseismic event,0.09655172413793103
medium,0.09540229885057472
resolution,0.09540229885057472
correlation coefficient,0.09540229885057472
larger,0.09310344827586207
residual,0.09310344827586207
theory,0.09310344827586207
frequency domain,0.09310344827586207
training dataset,0.09195402298850575
uncertainty,0.09080459770114943
implementation,0.09080459770114943
computation,0.09080459770114943
simple,0.09080459770114943
representation,0.09080459770114943
liu,0.09080459770114943
earthquake,0.09080459770114943
physic informed,0.09080459770114943
space,0.0896551724137931
second,0.0896551724137931
pde,0.0896551724137931
zhang,0.0896551724137931
reverse time,0.0896551724137931
efficient,0.08850574712643679
vector,0.08850574712643679
trained,0.08850574712643679
factor,0.08850574712643679
seismic trace,0.08850574712643679
task,0.08735632183908046
form,0.08735632183908046
elastic,0.08735632183908046
