N_points,mean_rel_error,std_rel_error,best_rel_error,mean_train_time_s,std_train_time_s,mean_eval_time_s,std_eval_time_s
20,3.7309197313838225,1.7044306537243883,1.4085307105506253,20.566526412963867,1.3928483486231578,0.0012932300567626953,0.0003164917114845199
30,2.748313990356484,1.8706380715605397,1.4913356281540973,23.748678255081177,3.136362716893323,0.0011763811111450196,0.00020782315722812266
40,2.4621984534992043,1.906734332213583,0.6065947278645175,27.165415692329407,7.052976450344409,0.0010994195938110352,0.00020156634977289617
50,1.2610234003624,0.7050440731597093,0.45840381678179015,31.78930869102478,5.921094894550316,0.0010715007781982421,0.00018766931230172954
60,1.1790739877685568,0.7222464220244503,0.2898519010912245,33.83884673118591,6.868845448460922,0.0011554956436157227,0.0002295275919194709
70,0.523611287732782,0.5499340204086341,0.07351741826289207,43.63479733467102,10.605807362860878,0.001009368896484375,0.00015657818491084913
80,0.22854875207807393,0.1420364645918315,0.04334880707461114,46.769443821907046,8.032215765243668,0.0011097192764282227,0.00022259924175931296
90,0.1117921512326276,0.13577909004369462,0.005716079299854718,50.78857297897339,7.3621472673503865,0.001062321662902832,0.00023702709046539131
100,0.050047432343762896,0.08458933199280758,0.007618673656447394,57.02270104885101,10.361512687341225,0.0010294675827026366,0.0001816623616420378
